DATE:,2017/12/3 19:54,,,,,,,,,,,,
TOOL:,DATE,,,,,,,,,,,,
,,No.,USECASE NAME,IS IN BENCHMARKS,IS IN SCRIPTFILE,TOTAL,FOUNDED,MISSED,EXTRA,PR,FNR,FPR,OVERHEAD
,,28,critical,total 8 races;,2 right race;,6 missing race;,0 extra race;,precision is 25.0%;,FNR is 75.0%;,FPR is0.0%;,,,
,,29,mergesort,total 4 races;,4 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,30,pingpong,total 8 races;,4 right race;,4 missing race;,0 extra race;,precision is 50.0%;,FNR is 50.0%;,FPR is0.0%;,,,
,,31,Elevator,total 34 races;,0 right race;,34 missing race;,0 extra race;,precision is 0.0%;,FNR is 100.0%;,FPR is0.0%;,,,
,,32,animator,total 31 races;,2 right race;,29 missing race;,4 extra race;,precision is 6.451612903225806%;,FNR is 93.54838709677419%;,FPR is12.903225806451612%;,,,
,,33,jpf_test_cases,total 5 races;,2 right race;,3 missing race;,0 extra race;,precision is 40.0%;,FNR is 60.0%;,FPR is0.0%;,,,
,,34,testRace12,total 2 races;,2 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,35,tomcat8.0.26,in scriptfile,not in benchmarks;,,,,,,,,
,,36,JGFMolDynBenchSizeA,in scriptfile,not in benchmarks;,,,,,,,,
,,37,dbcp3,in scriptfile,not in benchmarks;,,,,,,,,
,,38,derby3,in scriptfile,not in benchmarks;,,,,,,,,
,,39,groovy1,in scriptfile,not in benchmarks;,,,,,,,,
,,40,groovy5,in scriptfile,not in benchmarks;,,,,,,,,
,,41,groovy6,in scriptfile,not in benchmarks;,,,,,,,,
,,42,log4j1,in scriptfile,not in benchmarks;,,,,,,,,
,,43,log4j3,in scriptfile,not in benchmarks;,,,,,,,,
,,44,zookeeper,in scriptfile,not in benchmarks;,,,,,,,,
,,45,ftpserver1.1.0,in scriptfile,not in benchmarks;,,,,,,,,
,,46,log4j2.8.1,in scriptfile,not in benchmarks;,,,,,,,,
,,47,guava-21.0,in scriptfile,not in benchmarks;,,,,,,,,
,,48,commons-dbcps2-2.1.1,in scriptfile,not in benchmarks;,,,,,,,,
,,,Races details:,,,,,,,,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,tsp,1,correctly found,benchmarks/tsp/TspSolver.java;benchmarks/tsp/TspSolver.java,117,528,null,null,,,
,,,,2,correctly found,benchmarks/tsp/TspSolver.java;benchmarks/tsp/TspSolver.java,117,538,null,null,,,
,,,,3,correctly found,benchmarks/tsp/TspSolver.java;benchmarks/tsp/TspSolver.java,117,305,null,null,,,
,,,,4,correctly found,benchmarks/tsp/TspSolver.java;benchmarks/tsp/TspSolver.java,117,544,null,null,,,
,,,,5,correctly found,benchmarks/tsp/TspSolver.java;benchmarks/tsp/TspSolver.java,117,377,null,null,,,
,,,,6,missing,;/;,106,117,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace1,1,correctly found,testRace/TestRace1.java;testRace/TestRace1.java,41,47,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace3,1,correctly found,testRace/TestRace3.java;testRace/TestRace3.java,42,46,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace4,1,correctly found,testRace/TestRace4.java;testRace/TestRace4.java,43,48,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace6,1,correctly found,testRace/TestRace6.java;testRace/TestRace6.java,44,50,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace10,1,correctly found,testRace/TestRace10.java;testRace/TestRace10.java,43,60,null,null,,,
